"batch_id","last_chng_mn_usid","last_chng_dt","load_table","stat_code","item_code","data_cycle"
BAR10091,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y005",B,Q
BAR10092,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y005",A,A
BAR10093,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y005",A,M
BAR10094,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y005",A,Q
BAR10095,"8150918",2023-10-06 09:21:51.281,MKBSSD,"732Y001","99",A
BAR10096,"8150918",2023-10-06 09:21:51.281,MKBSSD,"732Y001","99",M
BAR10097,"8150918",2023-10-06 09:21:51.281,MKBSSD,"732Y001","99",Q
BAR10098,"8150918",2023-10-06 09:21:51.281,MKBSSD,"404Y014",*AA,A
BAR10099,"8150918",2023-10-06 09:21:51.281,MKBSSD,"404Y014",*AA,M
BAR10100,"8150918",2023-10-06 09:21:51.281,MKBSSD,"404Y014",*AA,Q
BAR10101,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y009","0",A
BAR10102,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y009","0",M
BAR10103,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y009","0",Q
BAR10104,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y010",QB,A
BAR10105,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y010",QB,M
BAR10106,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y010",QB,Q
BAR10107,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y010","110",A
BAR10108,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y010","110",M
BAR10109,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y010","110",Q
BAR10110,"8150918",2023-10-06 09:21:51.281,MKBSSD,"402Y014",*AAW,A
BAR10111,"8150918",2023-10-06 09:21:51.281,MKBSSD,"402Y014",*AAW,M
BAR10112,"8150918",2023-10-06 09:21:51.281,MKBSSD,"402Y014",*AAW,Q
BAR10113,"8150918",2023-10-06 09:21:51.281,MKBSSD,"401Y015",*AAW,A
BAR10114,"8150918",2023-10-06 09:21:51.281,MKBSSD,"401Y015",*AAW,M
BAR10115,"8150918",2023-10-06 09:21:51.281,MKBSSD,"401Y015",*AAW,Q
BAR10116,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y064",P65A,M
BAR10117,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y093",H69AR70A,M
BAR10118,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y094",H69AR70A,M
BAR10119,"8150918",2023-10-06 09:21:51.281,MKBSSD,"501Y011",C6091,A
BAR10120,"8150918",2023-10-06 09:21:51.281,MKBSSD,"501Y011",C506,A
BAR10121,"8150918",2023-10-06 09:21:51.281,MKBSSD,"501Y011",C707,A
BAR10122,"8150918",2023-10-06 09:21:51.281,MKBSSD,"512Y007",AAC0000,M
BAR10123,"8150918",2023-10-06 09:21:51.281,MKBSSD,"511Y002",FME99988,M
BAR10124,"8150918",2023-10-06 09:21:51.281,MKBSSD,"513Y001",E1000,M
BAR10125,"8150918",2023-10-06 09:21:51.281,MKBSSD,"601Y003","20100000",A
BAR10126,"8150918",2023-10-06 09:21:51.281,MKBSSD,"601Y003","20100000",M
BAR10127,"8150918",2023-10-06 09:21:51.281,MKBSSD,"601Y003","20100000",Q
BAR10128,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y067",I16D,M
